ProfitRatio,CustomerName,Discount%,OrderKey,CustomerSegment,City,Region,State,Country,ShipmentMode,OrderDate,ShipDate,ProductName,Manafacturer,ProductSubcategory,ProductCategory,Profit,Qty,Sale
38,Michael Nguyen,20,CA-2018-165204,Consumer,Memphis,South,Tennessee,United States,Second Class,2018-11-13,2018-11-16,"""While you Were Out"" Message Book, One Form per Page",Other,Paper,Office Supplies,3,3,9
50,Jamie Kunitz,0,CA-2018-123491,Consumer,San Francisco,West,California,United States,Standard Class,2018-10-30,2018-11-05,"""While you Were Out"" Message Book, One Form per Page",Other,Paper,Office Supplies,4,2,7
38,Muhammed Yedwab,20,CA-2018-167626,Corporate,Chicago,Central,Illinois,United States,Standard Class,2018-09-03,2018-09-07,"""While you Were Out"" Message Book, One Form per Page",Other,Paper,Office Supplies,3,3,9
46,Jeremy Lonsdale,0,CA-2017-138520,Consumer,New York City,East,New York,United States,Standard Class,2017-04-08,2017-04-13,"#10 Gummed Flap White Envelopes, 100/Box",Other,Envelopes,Office Supplies,4,2,8
46,William Brown,0,CA-2017-137848,Consumer,New York City,East,New York,United States,Standard Class,2017-01-15,2017-01-21,"#10 Gummed Flap White Envelopes, 100/Box",Other,Envelopes,Office Supplies,8,4,17
33,Chris Selesnick,20,CA-2016-121041,Corporate,Haltom City,Central,Texas,United States,Standard Class,2016-11-03,2016-11-10,"#10 Gummed Flap White Envelopes, 100/Box",Other,Envelopes,Office Supplies,2,2,7
33,Craig Yedwab,20,CA-2018-117114,Corporate,Chicago,Central,Illinois,United States,Standard Class,2018-10-31,2018-11-05,"#10 Gummed Flap White Envelopes, 100/Box",Other,Envelopes,Office Supplies,3,3,10
49,Jill Fjeld,0,CA-2017-102162,Consumer,Newport News,South,Virginia,United States,Standard Class,2017-09-11,2017-09-16,#10 Self-Seal White Envelopes,Other,Envelopes,Office Supplies,5,1,11
49,Quincy Jones,0,CA-2017-142097,Corporate,Springfield,South,Virginia,United States,Standard Class,2017-10-15,2017-10-20,#10 Self-Seal White Envelopes,Other,Envelopes,Office Supplies,33,6,67
49,Karen Ferguson,0,CA-2018-149559,Home Office,Long Beach,West,California,United States,Same Day,2018-09-11,2018-09-12,#10 Self-Seal White Envelopes,Other,Envelopes,Office Supplies,11,2,22
36,Eugene Hildebrand,20,CA-2017-104969,Home Office,Troy,East,Ohio,United States,Standard Class,2017-04-08,2017-04-14,#10 Self-Seal White Envelopes,Other,Envelopes,Office Supplies,3,1,9
34,Dan Campbell,20,US-2018-133781,Consumer,Miami,South,Florida,United States,First Class,2018-06-22,2018-06-23,"#10 White Business Envelopes,4 1/8 x 9 1/2",Other,Envelopes,Office Supplies,13,3,38
47,Herbert Flentye,0,CA-2015-153969,Consumer,San Francisco,West,California,United States,Standard Class,2015-09-21,2015-09-25,"#10 White Business Envelopes,4 1/8 x 9 1/2",Other,Envelopes,Office Supplies,37,5,78
34,Zuschuss Carroll,20,CA-2016-106978,Consumer,Aurora,West,Colorado,United States,Standard Class,2016-09-28,2016-10-04,"#10 White Business Envelopes,4 1/8 x 9 1/2",Other,Envelopes,Office Supplies,4,1,13
47,Harold Ryan,0,CA-2018-166184,Corporate,New York City,East,New York,United States,First Class,2018-03-24,2018-03-27,"#10 White Business Envelopes,4 1/8 x 9 1/2",Other,Envelopes,Office Supplies,22,3,47
47,Harold Engle,0,CA-2017-146374,Corporate,Newark,East,Delaware,United States,Second Class,2017-12-05,2017-12-10,"#10 White Business Envelopes,4 1/8 x 9 1/2",Other,Envelopes,Office Supplies,52,7,110
47,Steven Roelle,0,US-2015-147704,Home Office,Bloomington,Central,Indiana,United States,Standard Class,2015-11-16,2015-11-21,"#10 White Business Envelopes,4 1/8 x 9 1/2",Other,Envelopes,Office Supplies,37,5,78
47,Ben Ferrer,0,CA-2017-159891,Home Office,Atlanta,South,Georgia,United States,Standard Class,2017-01-31,2017-02-06,"#10 White Business Envelopes,4 1/8 x 9 1/2",Other,Envelopes,Office Supplies,59,8,125
34,Ann Steele,20,CA-2018-100314,Home Office,Pasadena,Central,Texas,United States,Standard Class,2018-09-29,2018-10-05,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Other,Envelopes,Office Supplies,9,4,28
34,Chloris Kastensmidt,20,CA-2015-131541,Consumer,Apopka,South,Florida,United States,Same Day,2015-07-28,2015-07-28,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Other,Envelopes,Office Supplies,17,7,49
47,Joy Bell-,0,US-2018-159562,Consumer,Roseville,Central,Michigan,United States,Standard Class,2018-09-09,2018-09-15,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Other,Envelopes,Office Supplies,8,2,17
47,Adam Shillingsburg,0,CA-2016-127509,Consumer,Springfield,Central,Missouri,United States,Standard Class,2016-11-09,2016-11-13,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Other,Envelopes,Office Supplies,12,3,26
34,Sarah Bern,20,US-2015-161305,Consumer,Chicago,Central,Illinois,United States,Standard Class,2015-06-06,2015-06-12,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Other,Envelopes,Office Supplies,5,2,14
